participant,trial,accuracy,rt
78,10,1,1251
78,11,1,1202
78,12,1,1340
78,13,1,919
78,14,1,1143
78,15,1,965
79,0,1,5030
79,1,0,1330
79,2,1,1397
79,3,1,1945
79,4,1,864
79,5,1,815
79,6,1,631
79,7,1,799
79,8,0,903
79,9,1,999
79,10,1,587
79,11,1,1089
79,12,1,609
79,13,0,657
79,14,1,1033
79,15,1,1041
80,0,1,4041
80,1,0,2673
80,2,0,1291
80,3,0,1374
80,4,0,1789
80,5,1,1371
80,6,0,754
80,7,0,1197
80,8,0,1159
80,9,1,1077
80,10,0,1262
80,11,1,1497
80,12,1,1060
80,13,0,1220
80,14,1,1770
80,15,1,927
81,0,0,13777
81,1,0,3042
81,2,1,4415
81,3,0,2011
81,4,0,3923
81,5,1,1846
81,6,1,3035
81,7,1,2753
81,8,0,3963
81,9,1,1436
81,10,1,1529
81,11,0,1491
81,12,0,1652
81,13,0,1217
81,14,1,1473
81,15,0,999
82,0,0,4997
82,1,1,2255
82,2,1,2585
82,3,0,2698
82,4,1,1885
82,5,1,1672
82,6,1,2228
82,7,1,1589
82,8,1,1757
82,9,0,1666
82,10,1,1310
82,11,0,2583
82,12,0,1852
82,13,1,1314
82,14,0,2389
82,15,0,3403
83,0,0,2287
83,1,1,2039
83,2,0,1871
83,3,1,1847
83,4,0,2471
83,5,1,1184
83,6,1,1063
83,7,1,1256
83,8,1,1343
83,9,1,1543
83,10,0,1415
83,11,1,1016
83,12,1,1271
83,13,1,671
83,14,1,1023
83,15,1,951
84,0,1,4471
84,1,1,3295
84,2,1,2959
84,3,1,2711
84,4,1,4759
84,5,1,6143
84,6,1,2287
84,7,1,2279
84,8,1,1615
84,9,1,2150
84,10,1,4263
84,11,1,2207
84,12,1,1583
84,13,1,6023
84,14,1,2519
84,15,1,3391
85,0,0,5295
85,1,0,3343
85,2,1,3182
85,3,1,2831
85,4,1,1625
85,5,1,4805
85,6,0,2163
85,7,0,2014
85,8,1,1721
85,9,0,2701
85,10,0,3554
85,11,1,2733
85,12,0,1411
85,13,1,2781
85,14,1,3793
85,15,1,2139
86,0,0,8000
86,1,1,3684
86,2,1,2217
86,3,1,7868
86,4,1,2082
86,5,1,2150
86,6,1,5483
86,7,1,1200
86,8,1,1783
86,9,1,1949
86,10,1,2333
86,11,1,1049
86,12,1,1866
86,13,1,1132
86,14,1,1216
86,15,1,2983
87,0,0,3189
87,1,0,2200
87,2,1,2606
87,3,1,1905
87,4,0,2002
87,5,0,1613
87,6,1,7513
87,7,1,2411
87,8,0,981
87,9,1,2507
87,10,0,1698
87,11,1,1051
87,12,1,1397
87,13,1,1117
87,14,1,900
87,15,1,767
88,0,1,3131
88,1,1,3166
88,2,1,1570
88,3,1,1348
88,4,0,1453
88,5,1,1276
88,6,0,1512
88,7,0,1328
88,8,0,2818
88,9,1,1964
88,10,0,1684
88,11,1,1206
88,12,1,1176
88,13,1,1099
88,14,1,1026
88,15,0,1011
89,0,1,8503
89,1,1,4445
89,2,0,4407
89,3,0,4211
89,4,1,6571
89,5,1,3523
89,6,1,7579
89,7,1,2217
89,8,1,2884
89,9,1,3329
89,10,1,3240
89,11,1,3119
89,12,0,3527
89,13,1,1434
89,14,1,2387
89,15,1,2446
90,0,1,4943
90,1,0,2780
90,2,1,2772
90,3,0,2990
90,4,1,2555
90,5,1,831
90,6,1,1014
90,7,1,1005
90,8,1,1251
90,9,1,972
90,10,1,1223
90,11,1,988
90,12,1,2238
90,13,1,808
90,14,1,880
90,15,1,1102
